,BlackCommon,Date,BlackUncommon,BlackRare,BlueCommon,BlueUncommon,BlueRare,RedCommon,RedUncommon,RedRare,GreenCommon,GreenUncommon,GreenRare,ItemCommon,ItemUncommon,ItemRare
300,131,2018-12-07 03:00:00,295,2285,127,149,5687,125,286,5062,123,198,4450,126,801,1851
389,131,2018-12-07 04:00:00,280,2196,126,155,5443,125,261,4860,123,195,4223,126,756,1752
171,130,2018-12-07 05:00:00,284,2129,127,158,5582,126,259,4796,124,196,4364,126,753,1803
217,130,2018-12-07 06:00:00,283,2173,127,162,5337,126,279,4765,124,191,4176,126,771,1797
375,128,2018-12-07 07:00:00,272,2073,125,148,5274,125,257,4654,123,189,4010,126,765,1731
144,130,2018-12-07 08:00:00,264,1986,124,152,5260,125,256,4539,124,184,4022,126,690,1686
210,129,2018-12-07 09:00:00,277,2112,124,155,5423,126,243,4584,124,187,4039,126,693,1677
303,127,2018-12-07 10:00:00,261,1882,123,145,5273,125,237,4335,123,186,3949,126,678,1644
340,130,2018-12-07 11:00:00,256,1941,123,154,5172,125,242,4358,123,187,4033,126,711,1572
396,128,2018-12-07 12:00:00,268,1874,123,152,5271,125,230,4231,123,180,3973,126,675,1566
60,129,2018-12-07 13:00:00,263,1909,123,145,5210,125,239,4197,123,178,3856,126,666,1542
227,128,2018-12-07 14:00:00,258,1820,123,146,5013,125,245,4043,123,192,3869,126,654,1539
127,129,2018-12-07 15:00:00,278,1861,124,151,4917,125,239,4093,123,183,3802,126,645,1563
214,131,2018-12-07 16:00:00,284,1945,123,148,4848,125,237,4174,123,188,3961,126,681,1599
438,129,2018-12-07 17:00:00,262,1772,124,158,4862,125,235,4043,123,181,3791,126,660,1566
116,129,2018-12-07 18:00:00,260,1794,124,151,4914,126,228,3948,123,177,3831,126,657,1455
39,130,2018-12-07 19:00:00,253,1852,124,159,4865,126,240,4008,123,177,3908,126,651,1548
122,129,2018-12-07 20:00:00,247,1716,123,145,4549,125,243,3791,123,177,3816,126,651,1512
405,127,2018-12-07 21:00:00,227,1594,123,140,4502,126,225,3665,123,174,3666,126,648,1443
309,127,2018-12-07 22:00:00,254,1540,123,152,4695,125,222,3862,123,177,3746,126,642,1422
424,129,2018-12-07 23:00:00,244,1693,123,165,4952,126,236,3861,125,188,3739,126,645,1488
1,128,2018-12-08 00:00:00,244,1647,126,151,4767,126,238,4205,123,166,3741,126,636,1524
167,129,2018-12-08 01:00:00,258,1792,126,152,5110,125,239,4328,123,166,3918,126,672,1647
285,129,2018-12-08 02:00:00,264,1829,123,144,5269,125,247,4335,125,168,3946,126,693,1656
151,129,2018-12-08 03:00:00,277,1918,123,151,5455,126,259,4403,123,174,4083,126,708,1743
46,130,2018-12-08 04:00:00,297,1964,123,154,5480,126,263,4400,123,174,3960,126,735,1812
